Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
Pep_0,0.497,0,0,0.497,Non-Toxin
Pep_1,0.519,0,0,0.519,Non-Toxin
Pep_10,0.823,0,0,0.823,Toxin
Pep_100,0.752,0,0,0.752,Toxin
Pep_1000,0.538,0,0,0.538,Non-Toxin
Pep_1001,0.566,0,0,0.566,Non-Toxin
Pep_1002,0.623,0,0,0.623,Toxin
Pep_1003,0.605,0,0,0.605,Toxin
Pep_1004,0.767,0,0,0.767,Toxin
Pep_1005,0.764,0,0,0.764,Toxin
Pep_1006,0.557,0,0,0.557,Non-Toxin
Pep_1007,0.583,0,0,0.583,Non-Toxin
Pep_1008,0.524,0,0,0.524,Non-Toxin
Pep_1009,0.571,0,0,0.571,Non-Toxin
Pep_101,0.728,0,0,0.728,Toxin
Pep_1010,0.503,0,0,0.503,Non-Toxin
Pep_1011,0.5,0,0,0.5,Non-Toxin
Pep_1012,0.662,0,0,0.662,Toxin
Pep_1013,0.658,0,0,0.658,Toxin
Pep_1014,0.574,0,0,0.574,Non-Toxin
Pep_1015,0.64,0,0,0.64,Toxin
Pep_1016,0.615,0,0,0.615,Toxin
Pep_1017,0.658,0,0,0.658,Toxin
Pep_1018,0.849,0,0,0.849,Toxin
Pep_1019,0.934,0,0,0.934,Toxin
Pep_102,0.694,0,0,0.694,Toxin
Pep_1020,0.548,0,0,0.548,Non-Toxin
Pep_1021,0.487,0,0,0.487,Non-Toxin
Pep_1022,0.517,0,0,0.517,Non-Toxin
Pep_1023,0.494,0,0,0.494,Non-Toxin
Pep_1024,0.487,0,0,0.487,Non-Toxin
Pep_1025,0.505,0,0,0.505,Non-Toxin
Pep_1026,0.717,0,0,0.717,Toxin
Pep_1027,0.661,0,0,0.661,Toxin
Pep_1028,0.636,0,0,0.636,Toxin
Pep_1029,0.521,0,0,0.521,Non-Toxin
Pep_103,0.671,0,0,0.671,Toxin
Pep_1030,0.738,0,0,0.738,Toxin
Pep_1031,0.787,0,0,0.787,Toxin
Pep_1032,0.753,0,0,0.753,Toxin
Pep_1033,0.655,0,0,0.655,Toxin
Pep_1034,0.675,0,0,0.675,Toxin
Pep_1035,0.757,0,0,0.757,Toxin
Pep_1036,0.435,0,0,0.435,Non-Toxin
Pep_1037,0.631,0,0,0.631,Toxin
Pep_1038,0.626,0,0,0.626,Toxin
Pep_1039,0.569,0,0,0.569,Non-Toxin
Pep_104,0.605,0,0,0.605,Toxin
Pep_1040,0.565,0,0,0.565,Non-Toxin
Pep_1041,0.487,0,0,0.487,Non-Toxin
Pep_1042,0.485,0,0,0.485,Non-Toxin
Pep_1043,0.508,0,0,0.508,Non-Toxin
