Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
pep0,0.504,0,0,0.504,Non-Toxin
pep1,0.482,0,0,0.482,Non-Toxin
pep10,0.652,0,0,0.652,Toxin
pep100,0.681,0,0,0.681,Toxin
pep1000,0.693,0,0,0.693,Toxin
pep1001,0.654,0,0,0.654,Toxin
pep1002,0.599,0,0,0.599,Non-Toxin
pep1003,0.84,0,0,0.84,Toxin
pep1004,0.8,0,0,0.8,Toxin
pep1005,0.775,0,0,0.775,Toxin
pep1006,0.765,0,0,0.765,Toxin
pep1007,0.759,0,0,0.759,Toxin
pep1008,0.748,0,0,0.748,Toxin
pep1009,0.728,0,0,0.728,Toxin
pep101,0.622,0,0,0.622,Toxin
pep1010,0.729,0,0,0.729,Toxin
pep1011,0.626,0,0,0.626,Toxin
pep1012,0.622,0,0,0.622,Toxin
pep1013,0.605,0,0,0.605,Toxin
pep1014,0.62,0,0,0.62,Toxin
pep1015,0.611,0,0,0.611,Toxin
pep1016,0.628,0,0,0.628,Toxin
pep1017,0.606,0,0,0.606,Toxin
pep1018,0.603,0,0,0.603,Toxin
pep1019,0.605,0,0,0.605,Toxin
pep102,0.574,0,0,0.574,Non-Toxin
pep1020,0.541,0,0,0.541,Non-Toxin
pep1021,0.536,0,0,0.536,Non-Toxin
pep1022,0.547,0,0,0.547,Non-Toxin
pep1023,0.561,0,0,0.561,Non-Toxin
pep1024,0.535,0,0,0.535,Non-Toxin
pep1025,0.537,0,0,0.537,Non-Toxin
pep1026,0.552,0,0,0.552,Non-Toxin
pep1027,0.555,0,0,0.555,Non-Toxin
pep1028,0.574,0,0,0.574,Non-Toxin
pep1029,0.576,0,0,0.576,Non-Toxin
pep103,0.801,0,0,0.801,Toxin
pep1030,0.549,0,0,0.549,Non-Toxin
pep1031,0.496,0,0,0.496,Non-Toxin
pep1032,0.443,0,0,0.443,Non-Toxin
pep1033,0.455,0,0,0.455,Non-Toxin
pep1034,0.491,0,0,0.491,Non-Toxin
pep1035,0.5,0,0,0.5,Non-Toxin
pep1036,0.477,0,0,0.477,Non-Toxin
pep1037,0.684,0,0,0.684,Toxin
pep1038,0.738,0,0,0.738,Toxin
pep1039,0.766,0,0,0.766,Toxin
pep104,0.772,0,0,0.772,Toxin
pep1040,0.719,0,0,0.719,Toxin
pep1041,0.717,0,0,0.717,Toxin
pep1042,0.702,0,0,0.702,Toxin
pep1043,0.713,0,0,0.713,Toxin
pep1044,0.656,0,0,0.656,Toxin
pep1045,0.64,0,0,0.64,Toxin
pep1046,0.641,0,0,0.641,Toxin
pep1047,0.638,0,0,0.638,Toxin
pep1048,0.648,0,0,0.648,Toxin
pep1049,0.669,0,0,0.669,Toxin
pep105,0.765,0,0,0.765,Toxin
pep1050,0.665,0,0,0.665,Toxin
pep1051,0.627,0,0,0.627,Toxin
pep1052,0.63,0,0,0.63,Toxin
pep1053,0.617,0,0,0.617,Toxin
pep1054,0.607,0,0,0.607,Toxin
pep1055,0.608,0,0,0.608,Toxin
pep1056,0.799,0,0,0.799,Toxin
pep1057,0.743,0,0,0.743,Toxin
pep1058,0.711,0,0,0.711,Toxin
pep1059,0.695,0,0,0.695,Toxin
pep106,0.733,0,0,0.733,Toxin
pep1060,0.691,0,0,0.691,Toxin
pep1061,0.695,0,0,0.695,Toxin
pep1062,0.669,0,0,0.669,Toxin
pep1063,0.721,0,0,0.721,Toxin
pep1064,0.712,0,0,0.712,Toxin
pep1065,0.713,0,0,0.713,Toxin
pep1066,0.702,0,0,0.702,Toxin
pep1067,0.712,0,0,0.712,Toxin
pep1068,0.665,0,0,0.665,Toxin
pep1069,0.684,0,0,0.684,Toxin
pep107,0.724,0,0,0.724,Toxin
pep1070,0.683,0,0,0.683,Toxin
pep1071,0.657,0,0,0.657,Toxin
pep1072,0.653,0,0,0.653,Toxin
pep1073,0.646,0,0,0.646,Toxin
pep1074,0.66,0,0,0.66,Toxin
pep1075,0.66,0,0,0.66,Toxin
pep1076,0.664,0,0,0.664,Toxin
pep1077,0.664,0,0,0.664,Toxin
pep1078,0.668,0,0,0.668,Toxin
pep1079,0.669,0,0,0.669,Toxin
pep108,0.728,0,0,0.728,Toxin
pep1080,0.66,0,0,0.66,Toxin
pep1081,0.714,0,0,0.714,Toxin
pep1082,0.665,0,0,0.665,Toxin
pep1083,0.672,0,0,0.672,Toxin
pep1084,0.674,0,0,0.674,Toxin
pep1085,0.667,0,0,0.667,Toxin
pep1086,0.71,0,0,0.71,Toxin
pep1087,0.462,0,0,0.462,Non-Toxin
pep1088,0.439,0,0,0.439,Non-Toxin
pep1089,0.478,0,0,0.478,Non-Toxin
pep109,0.704,0,0,0.704,Toxin
pep1090,0.6,0,0,0.6,Non-Toxin
pep1091,0.601,0,0,0.601,Toxin
pep1092,0.624,0,0,0.624,Toxin
pep1093,0.667,0,0,0.667,Toxin
pep1094,0.644,0,0,0.644,Toxin
pep1095,0.642,0,0,0.642,Toxin
pep1096,0.61,0,0,0.61,Toxin
pep1097,0.644,0,0,0.644,Toxin
pep1098,0.661,0,0,0.661,Toxin
pep1099,0.666,0,0,0.666,Toxin
pep11,0.656,0,0,0.656,Toxin
pep110,0.639,0,0,0.639,Toxin
pep1100,0.658,0,0,0.658,Toxin
pep1101,0.667,0,0,0.667,Toxin
pep1102,0.666,0,0,0.666,Toxin
pep1103,0.532,0,0,0.532,Non-Toxin
pep1104,0.51,0,0,0.51,Non-Toxin
pep1105,0.812,0,0,0.812,Toxin
pep1106,0.815,0,0,0.815,Toxin
pep1107,0.802,0,0,0.802,Toxin
pep1108,0.752,0,0,0.752,Toxin
pep1109,0.734,0,0,0.734,Toxin
pep111,0.673,0,0,0.673,Toxin
pep1110,0.713,0,0,0.713,Toxin
pep1111,0.693,0,0,0.693,Toxin
pep1112,0.692,0,0,0.692,Toxin
pep1113,0.686,0,0,0.686,Toxin
pep1114,0.716,0,0,0.716,Toxin
pep1115,0.717,0,0,0.717,Toxin
pep1116,0.704,0,0,0.704,Toxin
pep1117,0.7,0,0,0.7,Toxin
pep1118,0.705,0,0,0.705,Toxin
pep1119,0.747,0,0,0.747,Toxin
pep112,0.638,0,0,0.638,Toxin
