Scope,Name,Start,End,Length,Mean_pLDDT,Pct_pLDDT_ge70,Pct_pLDDT_lt50,Max_pLDDT,pTM,iPTM,Fraction_Disordered,Ranking_Score,Has_Clash,Intra_PAE,Inter_PAE,CrossModel_RMSD_Mean,CrossModel_RMSD_Min,CrossModel_RMSD_Max,CrossModel_RMSD_Pairs,Longest_Confident_Run,Longest_Confident_Run_Len,Docking_Readiness,Docking_Ready_Regions,Notes
WHOLE_MODEL,Vax_Final_0c83e66a length=484,1,484,484,34.76,9.3,88.64,93.49,,,,,,28.68,,,,,,1-45,45,,,max PAE 31.7 A
MODEL,model_0,,,,,,,,0.17,,0.76,0.55,0.0,,,,,,,,,,,
MODEL,model_1,,,,,,,,0.17,,0.73,0.53,0.0,,,,,,,,,,,
MODEL,model_2,,,,,,,,0.16,,0.69,0.51,0.0,,,,,,,,,,,
MODEL,model_3,,,,,,,,0.16,,0.52,0.42,0.0,,,,,,,,,,,
MODEL,model_4,,,,,,,,0.17,,0.35,0.34,0.0,,,,,,,,,,,
REGION,Adjuvant_bDefensin3,1,45,45,90.56,100.0,,,,,,,,2.41,,0.2,0.14,0.27,10,,,,,
REGION,Linker_EAAAK,46,50,5,54.03,0.0,,,,,,,,2.91,,2.03,0.14,3.06,10,,,,,
REGION,Cassette_MHC_I,51,192,142,32.49,0.0,,,,,,,,22.3,,18.25,4.88,30.37,10,,,,,
REGION,Cassette_MHC_II,193,412,220,22.1,0.0,,,,,,,,27.95,,21.77,13.86,26.04,10,,,,,
REGION,Cassette_Bcell,413,484,72,41.68,0.0,,,,,,,,17.32,,8.61,2.49,14.03,10,,,,,
REGION_PAIR,Adjuvant_bDefensin3 <-> Linker_EAAAK,,,,,,,,,,,,,,12.78,,,,,,,,,
REGION_PAIR,Adjuvant_bDefensin3 <-> Cassette_MHC_I,,,,,,,,,,,,,,28.38,,,,,,,,,
REGION_PAIR,Adjuvant_bDefensin3 <-> Cassette_MHC_II,,,,,,,,,,,,,,31.17,,,,,,,,,
REGION_PAIR,Adjuvant_bDefensin3 <-> Cassette_Bcell,,,,,,,,,,,,,,30.22,,,,,,,,,
REGION_PAIR,Linker_EAAAK <-> Cassette_MHC_I,,,,,,,,,,,,,,27.05,,,,,,,,,
REGION_PAIR,Linker_EAAAK <-> Cassette_MHC_II,,,,,,,,,,,,,,31.34,,,,,,,,,
REGION_PAIR,Linker_EAAAK <-> Cassette_Bcell,,,,,,,,,,,,,,30.38,,,,,,,,,
REGION_PAIR,Cassette_MHC_I <-> Cassette_MHC_II,,,,,,,,,,,,,,30.7,,,,,,,,,
REGION_PAIR,Cassette_MHC_I <-> Cassette_Bcell,,,,,,,,,,,,,,30.52,,,,,,,,,
REGION_PAIR,Cassette_MHC_II <-> Cassette_Bcell,,,,,,,,,,,,,,30.56,,,,,,,,,
VERDICT,Docking_Readiness,,,,,,,,,,,,,,,,,,,,,DOMAIN_ONLY,1-45,"Adjuvant_bDefensin3 1-45: mean pLDDT 90.6, cross-model RMSD 0.20 A (whole-model pTM 0.17 -- global fold NOT determined)"
