Variant_ID,KT_Verdict,ESM2_Prob,ESM2_Verdict,Final_Verdict,KT_Peptide_Count
HIV_gp120_Var_01_YES72107.1.fasta,True,0.9769,True,ANTIGENIC,23
HIV_gp120_Var_06_YAA49993.1.fasta,True,0.9768,True,ANTIGENIC,25
HIV_gp120_Var_07_YAA49984.1.fasta,True,0.977,True,ANTIGENIC,25
HIV_gp120_Var_08_YAA49975.1.fasta,True,0.977,True,ANTIGENIC,27
HIV_gp120_Var_09_YAA49963.1.fasta,True,0.9769,True,ANTIGENIC,23
HIV_gp120_Var_13_YDB18357.1.fasta,True,0.9772,True,ANTIGENIC,23
HIV_gp120_Var_14_YCS46616.1.fasta,True,0.9768,True,ANTIGENIC,22
HIV_gp120_Var_15_YCS46608.1.fasta,True,0.9771,True,ANTIGENIC,27
HIV_gp120_Var_16_YCS46599.1.fasta,True,0.9772,True,ANTIGENIC,25
HIV_gp120_Var_17_YCS46590.1.fasta,True,0.977,True,ANTIGENIC,24
HIV_gp120_Var_20_YAG30066.1.fasta,True,0.9768,True,ANTIGENIC,26
HIV_gp120_Var_21_XZP52928.1.fasta,True,0.9767,True,ANTIGENIC,27
HIV_gp120_Var_22_XFC51710.1.fasta,True,0.9772,True,ANTIGENIC,26
HIV_gp120_Var_23_XFC51701.1.fasta,True,0.977,True,ANTIGENIC,24
HIV_gp120_Var_24_XFC51692.1.fasta,True,0.9771,True,ANTIGENIC,25
HIV_gp120_Var_25_pdb|8TTW|J.fasta,True,0.9759,True,ANTIGENIC,4
HIV_gp120_Var_26_pdb|8TTW|I.fasta,True,0.9771,True,ANTIGENIC,17
HIV_gp120_Var_27_pdb|8TTW|F.fasta,True,0.9759,True,ANTIGENIC,4
HIV_gp120_Var_28_pdb|8TTW|E.fasta,True,0.9771,True,ANTIGENIC,17
HIV_gp120_Var_29_pdb|8TTW|B.fasta,True,0.9759,True,ANTIGENIC,4
HIV_gp120_Var_30_pdb|8TTW|A.fasta,True,0.9771,True,ANTIGENIC,17
HIV_gp41_Var_01_YES72107.1.fasta,True,0.9769,True,ANTIGENIC,23
HIV_gp41_Var_05_YAA49993.1.fasta,True,0.9768,True,ANTIGENIC,25
HIV_gp41_Var_06_YAA49984.1.fasta,True,0.977,True,ANTIGENIC,25
HIV_gp41_Var_07_YAA49975.1.fasta,True,0.977,True,ANTIGENIC,27
HIV_gp41_Var_08_YAA49963.1.fasta,True,0.9769,True,ANTIGENIC,23
HIV_gp41_Var_10_YDB18357.1.fasta,True,0.9772,True,ANTIGENIC,23
HIV_gp41_Var_11_YCS46616.1.fasta,True,0.9768,True,ANTIGENIC,22
HIV_gp41_Var_12_YCS46599.1.fasta,True,0.9772,True,ANTIGENIC,25
HIV_gp41_Var_14_YAG30066.1.fasta,True,0.9768,True,ANTIGENIC,26
HIV_gp41_Var_15_XFC51710.1.fasta,True,0.9772,True,ANTIGENIC,26
HIV_gp41_Var_16_XFC51701.1.fasta,True,0.977,True,ANTIGENIC,24
HIV_gp41_Var_17_XFC51692.1.fasta,True,0.9771,True,ANTIGENIC,25
HIV_gp41_Var_18_pdb|8TTW|J.fasta,True,0.9759,True,ANTIGENIC,4
HIV_gp41_Var_19_pdb|8TTW|F.fasta,True,0.9759,True,ANTIGENIC,4
HIV_gp41_Var_20_pdb|8TTW|B.fasta,True,0.9759,True,ANTIGENIC,4
HIV_gp41_Var_21_XPO05105.1.fasta,True,0.9769,True,ANTIGENIC,23
HIV_gp41_Var_22_XPO05096.1.fasta,True,0.9767,True,ANTIGENIC,23
HIV_gp41_Var_23_XPO04995.1.fasta,True,0.9772,True,ANTIGENIC,23
HIV_gp41_Var_24_XPO04987.1.fasta,True,0.9771,True,ANTIGENIC,24
HIV_gp41_Var_25_XPO04978.1.fasta,True,0.9771,True,ANTIGENIC,24
HIV_gp41_Var_26_XPO04971.1.fasta,True,0.9771,True,ANTIGENIC,23
HIV_gp41_Var_27_XPO04794.1.fasta,True,0.9774,True,ANTIGENIC,23
HIV_gp41_Var_28_XPO04776.1.fasta,True,0.9774,True,ANTIGENIC,24
HIV_gp41_Var_29_XPO04760.1.fasta,True,0.9773,True,ANTIGENIC,22
HIV_gp41_Var_30_XPO03852.1.fasta,True,0.9769,True,ANTIGENIC,24
HIV_p17_Var_01_YES72110.1.fasta,True,0.9735,True,ANTIGENIC,58
HIV_p17_Var_02_YES72109.1.fasta,True,0.975,True,ANTIGENIC,19
HIV_p17_Var_08_YAA49986.1.fasta,True,0.9758,True,ANTIGENIC,19
HIV_p17_Var_09_YAA49977.1.fasta,True,0.9759,True,ANTIGENIC,21
HIV_p17_Var_10_YAA49968.1.fasta,True,0.9759,True,ANTIGENIC,18
HIV_p17_Var_11_YAA49964.1.fasta,True,0.9758,True,ANTIGENIC,18
HIV_p17_Var_13_XZS46054.1.fasta,True,0.9756,True,ANTIGENIC,18
HIV_p17_Var_15_YDB18351.1.fasta,True,0.9756,True,ANTIGENIC,21
HIV_p17_Var_16_YCS46609.1.fasta,True,0.9748,True,ANTIGENIC,20
HIV_p17_Var_17_YCS46601.1.fasta,True,0.9756,True,ANTIGENIC,19
HIV_p17_Var_18_YCS46592.1.fasta,True,0.9756,True,ANTIGENIC,19
HIV_p17_Var_19_YCS46583.1.fasta,True,0.9756,True,ANTIGENIC,18
HIV_p17_Var_20_WVT29341.1.fasta,True,0.9759,True,ANTIGENIC,20
HIV_p17_Var_21_WVT29333.1.fasta,True,0.9757,True,ANTIGENIC,18
HIV_p17_Var_22_YAG30059.1.fasta,True,0.9758,True,ANTIGENIC,21
HIV_p17_Var_23_XWN58111.1.fasta,True,0.975,True,ANTIGENIC,11
HIV_p17_Var_25_XWN58107.1.fasta,True,0.975,True,ANTIGENIC,11
HIV_p17_Var_26_XWN58106.1.fasta,True,0.9745,True,ANTIGENIC,11
HIV_p17_Var_27_XWN58098.1.fasta,True,0.9741,True,ANTIGENIC,10
HIV_p17_Var_30_XWN58084.1.fasta,True,0.9744,True,ANTIGENIC,11
HIV_p24_Var_01_YES72110.1.fasta,True,0.9735,True,ANTIGENIC,58
HIV_p24_Var_02_YES72109.1.fasta,True,0.975,True,ANTIGENIC,19
HIV_p24_Var_08_YAA49986.1.fasta,True,0.9758,True,ANTIGENIC,19
HIV_p24_Var_09_YAA49977.1.fasta,True,0.9759,True,ANTIGENIC,21
HIV_p24_Var_10_YAA49968.1.fasta,True,0.9759,True,ANTIGENIC,18
HIV_p24_Var_11_YAA49964.1.fasta,True,0.9758,True,ANTIGENIC,18
HIV_p24_Var_13_XZS46054.1.fasta,True,0.9756,True,ANTIGENIC,18
HIV_p24_Var_15_YDB18351.1.fasta,True,0.9756,True,ANTIGENIC,21
HIV_p24_Var_16_YCS46609.1.fasta,True,0.9748,True,ANTIGENIC,20
HIV_p24_Var_17_YCS46601.1.fasta,True,0.9756,True,ANTIGENIC,19
HIV_p24_Var_18_YCS46592.1.fasta,True,0.9756,True,ANTIGENIC,19
HIV_p24_Var_19_YCS46583.1.fasta,True,0.9756,True,ANTIGENIC,18
HIV_p24_Var_20_WVT29341.1.fasta,True,0.9759,True,ANTIGENIC,20
HIV_p24_Var_21_WVT29333.1.fasta,True,0.9757,True,ANTIGENIC,18
HIV_p24_Var_22_YAG30059.1.fasta,True,0.9758,True,ANTIGENIC,21
HIV_p24_Var_23_XWN58111.1.fasta,True,0.975,True,ANTIGENIC,11
HIV_p24_Var_25_XWN58107.1.fasta,True,0.975,True,ANTIGENIC,11
HIV_p24_Var_26_XWN58106.1.fasta,True,0.9745,True,ANTIGENIC,11
HIV_p24_Var_27_XWN58098.1.fasta,True,0.9741,True,ANTIGENIC,10
HIV_p24_Var_30_XWN58084.1.fasta,True,0.9744,True,ANTIGENIC,11
Mpox_A35R_Var_01_USS79496.1.fasta,True,0.9058,True,ANTIGENIC,4
Mpox_A35R_Var_02_QJQ40286.1.fasta,True,0.9058,True,ANTIGENIC,4
Mpox_A35R_Var_03_AGR38704.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_04_AGR38513.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_05_AGR38322.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_06_AGR38131.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_07_AGR37941.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_08_AGR37751.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_09_AGR37561.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_10_AGR37370.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_11_AGR37179.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_12_AGR36988.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_13_AGR36797.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_14_AGR36606.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_15_AGR36415.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_16_AGR36224.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_17_AGR36033.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_18_AGR35842.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_19_AGR35651.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_20_AGR35460.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_21_AGR35269.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_22_AGR35078.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_23_AGR34887.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_24_AGR34696.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_25_AGR34506.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_A35R_Var_26_AAL40603.1.fasta,True,0.9053,True,ANTIGENIC,4
Mpox_A35R_Var_27_AAN78222.1.fasta,True,0.9068,True,ANTIGENIC,4
Mpox_B5R_Var_01_QJQ40305.1.fasta,True,0.9576,True,ANTIGENIC,19
Mpox_B5R_Var_02_AGR38725.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_03_AGR38534.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_04_AGR38343.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_05_AGR38152.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_06_AGR37962.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_07_AGR37772.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_08_AGR37582.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_09_AGR37391.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_10_AGR37200.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_11_AGR37009.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_12_AGR36818.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_13_AGR36627.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_14_AGR36436.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_15_AGR36245.1.fasta,True,0.9572,True,ANTIGENIC,19
Mpox_B5R_Var_16_AGR36054.1.fasta,True,0.9572,True,ANTIGENIC,19
