Variant_ID,Target,MW_kDa,GRAVY,Instability_Index,Status
HIV_gp120_Var_01_YES72107.1,HIV_gp120,97.52,-0.26,38.62,STABLE
HIV_gp120_Var_02_YES72086.1,HIV_gp120,,,,EXCLUDED_NONSTANDARD
HIV_gp120_Var_03_XUS50365.1,HIV_gp120,,,,EXCLUDED_NONSTANDARD
HIV_gp120_Var_04_XUS50356.1,HIV_gp120,,,,EXCLUDED_NONSTANDARD
HIV_gp120_Var_05_XUS50347.1,HIV_gp120,,,,EXCLUDED_NONSTANDARD
HIV_gp120_Var_06_YAA49993.1,HIV_gp120,96.58,-0.21,38.75,STABLE
HIV_gp120_Var_07_YAA49984.1,HIV_gp120,96.34,-0.22,36.93,STABLE
HIV_gp120_Var_08_YAA49975.1,HIV_gp120,97.13,-0.2,38.69,STABLE
HIV_gp120_Var_09_YAA49963.1,HIV_gp120,97.12,-0.18,37.32,STABLE
HIV_gp120_Var_10_XZS46801.1,HIV_gp120,,,,EXCLUDED_NONSTANDARD
HIV_gp120_Var_11_XZS46061.1,HIV_gp120,,,,EXCLUDED_NONSTANDARD
HIV_gp120_Var_12_XZS45506.1,HIV_gp120,,,,EXCLUDED_NONSTANDARD
HIV_gp120_Var_13_YDB18357.1,HIV_gp120,97.21,-0.26,34.96,STABLE
HIV_gp120_Var_14_YCS46616.1,HIV_gp120,96.62,-0.22,43.08,UNSTABLE_FLAGGED
HIV_gp120_Var_15_YCS46608.1,HIV_gp120,98.5,-0.25,36.88,STABLE
HIV_gp120_Var_16_YCS46599.1,HIV_gp120,96.57,-0.23,42.05,UNSTABLE_FLAGGED
HIV_gp120_Var_17_YCS46590.1,HIV_gp120,96.7,-0.24,38.52,STABLE
HIV_gp120_Var_18_WVT29348.1,HIV_gp120,,,,EXCLUDED_NONSTANDARD
HIV_gp120_Var_19_WVT29340.1,HIV_gp120,,,,EXCLUDED_NONSTANDARD
HIV_gp120_Var_20_YAG30066.1,HIV_gp120,97.56,-0.2,41.16,UNSTABLE_FLAGGED
HIV_gp120_Var_21_XZP52928.1,HIV_gp120,96.17,-0.2,37.92,STABLE
HIV_gp120_Var_22_XFC51710.1,HIV_gp120,98.25,-0.28,41.33,UNSTABLE_FLAGGED
HIV_gp120_Var_23_XFC51701.1,HIV_gp120,97.75,-0.24,41.12,UNSTABLE_FLAGGED
HIV_gp120_Var_24_XFC51692.1,HIV_gp120,96.96,-0.19,41.64,UNSTABLE_FLAGGED
HIV_gp120_Var_25_pdb|8TTW|J,HIV_gp120,17.13,-0.11,35.1,STABLE
HIV_gp120_Var_26_pdb|8TTW|I,HIV_gp120,54.0,-0.45,43.56,UNSTABLE_FLAGGED
HIV_gp120_Var_27_pdb|8TTW|F,HIV_gp120,17.13,-0.11,35.1,STABLE
HIV_gp120_Var_28_pdb|8TTW|E,HIV_gp120,54.0,-0.45,43.56,UNSTABLE_FLAGGED
