Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
pep0,0.706,0,0,0.706,Toxin
pep1,0.66,0,0,0.66,Toxin
pep10,0.86,0,0,0.86,Toxin
pep100,0.494,0,0,0.494,Non-Toxin
pep1000,0.681,0,0,0.681,Toxin
pep1001,0.693,0,0,0.693,Toxin
pep1002,0.715,0,0,0.715,Toxin
pep1003,0.63,0,0,0.63,Toxin
pep1004,0.621,0,0,0.621,Toxin
pep1005,0.648,0,0,0.648,Toxin
pep1006,0.642,0,0,0.642,Toxin
pep1007,0.568,0,0,0.568,Non-Toxin
pep1008,0.747,0,0,0.747,Toxin
pep1009,0.751,0,0,0.751,Toxin
pep101,0.474,0,0,0.474,Non-Toxin
pep1010,0.745,0,0,0.745,Toxin
pep1011,0.724,0,0,0.724,Toxin
pep1012,0.725,0,0,0.725,Toxin
pep1013,0.711,0,0,0.711,Toxin
pep1014,0.651,0,0,0.651,Toxin
pep1015,0.641,0,0,0.641,Toxin
pep1016,0.624,0,0,0.624,Toxin
pep1017,0.684,0,0,0.684,Toxin
pep1018,0.636,0,0,0.636,Toxin
pep1019,0.634,0,0,0.634,Toxin
pep102,0.689,0,0,0.689,Toxin
pep1020,0.665,0,0,0.665,Toxin
pep1021,0.745,0,0,0.745,Toxin
pep1022,0.746,0,0,0.746,Toxin
pep1023,0.721,0,0,0.721,Toxin
pep1024,0.712,0,0,0.712,Toxin
pep1025,0.719,0,0,0.719,Toxin
pep1026,0.715,0,0,0.715,Toxin
pep1027,0.505,0,0,0.505,Non-Toxin
pep1028,0.474,0,0,0.474,Non-Toxin
pep1029,0.514,0,0,0.514,Non-Toxin
pep103,0.688,0,0,0.688,Toxin
pep1030,0.694,0,0,0.694,Toxin
pep1031,0.692,0,0,0.692,Toxin
pep1032,0.647,0,0,0.647,Toxin
pep1033,0.652,0,0,0.652,Toxin
pep1034,0.661,0,0,0.661,Toxin
pep1035,0.638,0,0,0.638,Toxin
pep1036,0.631,0,0,0.631,Toxin
pep1037,0.6,0,0,0.6,Non-Toxin
pep1038,0.598,0,0,0.598,Non-Toxin
pep1039,0.601,0,0,0.601,Toxin
pep104,0.686,0,0,0.686,Toxin
pep1040,0.675,0,0,0.675,Toxin
pep1041,0.593,0,0,0.593,Non-Toxin
pep1042,0.577,0,0,0.577,Non-Toxin
pep1043,0.654,0,0,0.654,Toxin
pep1044,0.654,0,0,0.654,Toxin
pep1045,0.657,0,0,0.657,Toxin
pep1046,0.845,0,0,0.845,Toxin
pep1047,0.852,0,0,0.852,Toxin
pep1048,0.852,0,0,0.852,Toxin
pep1049,0.857,0,0,0.857,Toxin
pep105,0.684,0,0,0.684,Toxin
pep1050,0.776,0,0,0.776,Toxin
pep1051,0.76,0,0,0.76,Toxin
pep1052,0.726,0,0,0.726,Toxin
pep1053,0.718,0,0,0.718,Toxin
pep1054,0.696,0,0,0.696,Toxin
pep1055,0.675,0,0,0.675,Toxin
pep1056,0.638,0,0,0.638,Toxin
pep1057,0.682,0,0,0.682,Toxin
pep1058,0.684,0,0,0.684,Toxin
pep1059,0.686,0,0,0.686,Toxin
pep106,0.635,0,0,0.635,Toxin
pep1060,0.66,0,0,0.66,Toxin
pep1061,0.595,0,0,0.595,Non-Toxin
pep1062,0.557,0,0,0.557,Non-Toxin
pep1063,0.594,0,0,0.594,Non-Toxin
pep1064,0.601,0,0,0.601,Toxin
pep1065,0.575,0,0,0.575,Non-Toxin
pep1066,0.531,0,0,0.531,Non-Toxin
pep1067,0.523,0,0,0.523,Non-Toxin
pep1068,0.566,0,0,0.566,Non-Toxin
pep1069,0.615,0,0,0.615,Toxin
pep107,0.603,0,0,0.603,Toxin
pep1070,0.623,0,0,0.623,Toxin
pep1071,0.698,0,0,0.698,Toxin
pep1072,0.714,0,0,0.714,Toxin
pep1073,0.574,0,0,0.574,Non-Toxin
pep1074,0.546,0,0,0.546,Non-Toxin
pep1075,0.544,0,0,0.544,Non-Toxin
pep1076,0.539,0,0,0.539,Non-Toxin
pep1077,0.499,0,0,0.499,Non-Toxin
