Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
pep0,0.504,0,0,0.504,Non-Toxin
pep1,0.482,0,0,0.482,Non-Toxin
pep10,0.475,0,0,0.475,Non-Toxin
pep100,0.71,0,0,0.71,Toxin
pep1000,0.867,0,0,0.867,Toxin
pep1001,0.803,0,0,0.803,Toxin
pep1002,0.796,0,0,0.796,Toxin
pep1003,0.77,0,0,0.77,Toxin
pep1004,0.731,0,0,0.731,Toxin
pep1005,0.719,0,0,0.719,Toxin
pep1006,0.71,0,0,0.71,Toxin
pep1007,0.693,0,0,0.693,Toxin
pep1008,0.678,0,0,0.678,Toxin
pep1009,0.526,0,0,0.526,Non-Toxin
pep101,0.738,0,0,0.738,Toxin
pep1010,0.542,0,0,0.542,Non-Toxin
pep1011,0.598,0,0,0.598,Non-Toxin
pep1012,0.607,0,0,0.607,Toxin
pep1013,0.62,0,0,0.62,Toxin
pep1014,0.628,0,0,0.628,Toxin
pep1015,0.651,0,0,0.651,Toxin
pep1016,0.603,0,0,0.603,Toxin
pep1017,0.572,0,0,0.572,Non-Toxin
pep1018,0.576,0,0,0.576,Non-Toxin
pep1019,0.604,0,0,0.604,Toxin
pep102,0.682,0,0,0.682,Toxin
pep1020,0.61,0,0,0.61,Toxin
pep1021,0.61,0,0,0.61,Toxin
pep1022,0.603,0,0,0.603,Toxin
pep1023,0.599,0,0,0.599,Non-Toxin
pep1024,0.613,0,0,0.613,Toxin
pep1025,0.614,0,0,0.614,Toxin
pep1026,0.643,0,0,0.643,Toxin
pep1027,0.644,0,0,0.644,Toxin
pep1028,0.611,0,0,0.611,Toxin
pep1029,0.614,0,0,0.614,Toxin
pep103,0.68,0,0,0.68,Toxin
pep1030,0.611,0,0,0.611,Toxin
pep1031,0.601,0,0,0.601,Toxin
pep1032,0.597,0,0,0.597,Non-Toxin
pep1033,0.588,0,0,0.588,Non-Toxin
pep1034,0.51,0,0,0.51,Non-Toxin
pep1035,0.543,0,0,0.543,Non-Toxin
pep1036,0.552,0,0,0.552,Non-Toxin
pep1037,0.55,0,0,0.55,Non-Toxin
pep1038,0.492,0,0,0.492,Non-Toxin
pep1039,0.501,0,0,0.501,Non-Toxin
pep104,0.669,0,0,0.669,Toxin
pep1040,0.498,0,0,0.498,Non-Toxin
pep1041,0.518,0,0,0.518,Non-Toxin
pep1042,0.552,0,0,0.552,Non-Toxin
pep1043,0.543,0,0,0.543,Non-Toxin
pep1044,0.548,0,0,0.548,Non-Toxin
pep1045,0.572,0,0,0.572,Non-Toxin
pep1046,0.538,0,0,0.538,Non-Toxin
pep1047,0.538,0,0,0.538,Non-Toxin
pep1048,0.538,0,0,0.538,Non-Toxin
pep1049,0.536,0,0,0.536,Non-Toxin
pep105,0.689,0,0,0.689,Toxin
pep1050,0.538,0,0,0.538,Non-Toxin
pep1051,0.556,0,0,0.556,Non-Toxin
pep1052,0.532,0,0,0.532,Non-Toxin
pep1053,0.525,0,0,0.525,Non-Toxin
pep1054,0.518,0,0,0.518,Non-Toxin
pep1055,0.516,0,0,0.516,Non-Toxin
pep1056,0.711,0,0,0.711,Toxin
pep1057,0.711,0,0,0.711,Toxin
pep1058,0.698,0,0,0.698,Toxin
pep1059,0.725,0,0,0.725,Toxin
pep106,0.692,0,0,0.692,Toxin
pep1060,0.806,0,0,0.806,Toxin
pep1061,0.816,0,0,0.816,Toxin
pep1062,0.812,0,0,0.812,Toxin
pep1063,0.812,0,0,0.812,Toxin
pep1064,0.786,0,0,0.786,Toxin
pep1065,0.787,0,0,0.787,Toxin
pep1066,0.739,0,0,0.739,Toxin
pep1067,0.704,0,0,0.704,Toxin
pep1068,0.707,0,0,0.707,Toxin
pep1069,0.649,0,0,0.649,Toxin
pep107,0.687,0,0,0.687,Toxin
pep1070,0.598,0,0,0.598,Non-Toxin
pep1071,0.622,0,0,0.622,Toxin
pep1072,0.598,0,0,0.598,Non-Toxin
pep1073,0.868,0,0,0.868,Toxin
pep1074,0.846,0,0,0.846,Toxin
pep1075,0.828,0,0,0.828,Toxin
pep1076,0.82,0,0,0.82,Toxin
pep1077,0.782,0,0,0.782,Toxin
pep1078,0.794,0,0,0.794,Toxin
pep1079,0.761,0,0,0.761,Toxin
pep108,0.626,0,0,0.626,Toxin
pep1080,0.752,0,0,0.752,Toxin
pep1081,0.649,0,0,0.649,Toxin
pep1082,0.646,0,0,0.646,Toxin
pep1083,0.615,0,0,0.615,Toxin
pep1084,0.613,0,0,0.613,Toxin
pep1085,0.612,0,0,0.612,Toxin
pep1086,0.622,0,0,0.622,Toxin
pep1087,0.654,0,0,0.654,Toxin
pep1088,0.63,0,0,0.63,Toxin
pep1089,0.638,0,0,0.638,Toxin
pep109,0.574,0,0,0.574,Non-Toxin
pep1090,0.552,0,0,0.552,Non-Toxin
pep1091,0.558,0,0,0.558,Non-Toxin
pep1092,0.82,0,0,0.82,Toxin
pep1093,0.714,0,0,0.714,Toxin
pep1094,0.69,0,0,0.69,Toxin
pep1095,0.633,0,0,0.633,Toxin
pep1096,0.623,0,0,0.623,Toxin
pep1097,0.628,0,0,0.628,Toxin
pep1098,0.655,0,0,0.655,Toxin
pep1099,0.638,0,0,0.638,Toxin
pep11,0.469,0,0,0.469,Non-Toxin
pep110,0.828,0,0,0.828,Toxin
pep1100,0.599,0,0,0.599,Non-Toxin
pep1101,0.59,0,0,0.59,Non-Toxin
pep1102,0.576,0,0,0.576,Non-Toxin
pep1103,0.574,0,0,0.574,Non-Toxin
pep1104,0.614,0,0,0.614,Toxin
pep1105,0.617,0,0,0.617,Toxin
pep1106,0.647,0,0,0.647,Toxin
pep1107,0.658,0,0,0.658,Toxin
pep1108,0.661,0,0,0.661,Toxin
pep1109,0.657,0,0,0.657,Toxin
pep111,0.797,0,0,0.797,Toxin
pep1110,0.664,0,0,0.664,Toxin
pep1111,0.667,0,0,0.667,Toxin
pep1112,0.66,0,0,0.66,Toxin
pep1113,0.655,0,0,0.655,Toxin
pep1114,0.65,0,0,0.65,Toxin
pep1115,0.952,0,0,0.952,Toxin
pep1116,0.955,0,0,0.955,Toxin
pep1117,0.941,0,0,0.941,Toxin
