Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
pep0,0.706,0,0,0.706,Toxin
pep1,0.66,0,0,0.66,Toxin
pep10,0.86,0,0,0.86,Toxin
pep100,0.676,0,0,0.676,Toxin
pep1000,0.535,0,0,0.535,Non-Toxin
pep1001,0.555,0,0,0.555,Non-Toxin
pep1002,0.564,0,0,0.564,Non-Toxin
pep1003,0.572,0,0,0.572,Non-Toxin
pep1004,0.603,0,0,0.603,Toxin
pep1005,0.616,0,0,0.616,Toxin
pep1006,0.581,0,0,0.581,Non-Toxin
pep1007,0.686,0,0,0.686,Toxin
pep1008,0.691,0,0,0.691,Toxin
pep1009,0.704,0,0,0.704,Toxin
pep101,0.609,0,0,0.609,Toxin
pep1010,0.701,0,0,0.701,Toxin
pep1011,0.694,0,0,0.694,Toxin
pep1012,0.722,0,0,0.722,Toxin
pep1013,0.723,0,0,0.723,Toxin
pep1014,0.799,0,0,0.799,Toxin
pep1015,0.743,0,0,0.743,Toxin
pep1016,0.711,0,0,0.711,Toxin
pep1017,0.695,0,0,0.695,Toxin
pep1018,0.691,0,0,0.691,Toxin
pep1019,0.695,0,0,0.695,Toxin
pep102,0.621,0,0,0.621,Toxin
pep1020,0.669,0,0,0.669,Toxin
pep1021,0.604,0,0,0.604,Toxin
pep1022,0.607,0,0,0.607,Toxin
pep1023,0.702,0,0,0.702,Toxin
pep1024,0.684,0,0,0.684,Toxin
pep1025,0.74,0,0,0.74,Toxin
pep1026,0.727,0,0,0.727,Toxin
pep1027,0.735,0,0,0.735,Toxin
pep1028,0.686,0,0,0.686,Toxin
pep1029,0.685,0,0,0.685,Toxin
pep103,0.648,0,0,0.648,Toxin
pep1030,0.683,0,0,0.683,Toxin
pep1031,0.704,0,0,0.704,Toxin
pep1032,0.681,0,0,0.681,Toxin
pep1033,0.684,0,0,0.684,Toxin
pep1034,0.692,0,0,0.692,Toxin
pep1035,0.629,0,0,0.629,Toxin
pep1036,0.626,0,0,0.626,Toxin
pep1037,0.65,0,0,0.65,Toxin
pep1038,0.655,0,0,0.655,Toxin
pep1039,0.684,0,0,0.684,Toxin
pep104,0.657,0,0,0.657,Toxin
pep1040,0.697,0,0,0.697,Toxin
pep1041,0.706,0,0,0.706,Toxin
pep1042,0.43,0,0,0.43,Non-Toxin
pep1043,0.43,0,0,0.43,Non-Toxin
pep1044,0.403,0,0,0.403,Non-Toxin
pep1045,0.6,0,0,0.6,Non-Toxin
pep1046,0.601,0,0,0.601,Toxin
pep1047,0.624,0,0,0.624,Toxin
pep1048,0.667,0,0,0.667,Toxin
pep1049,0.644,0,0,0.644,Toxin
pep105,0.697,0,0,0.697,Toxin
pep1050,0.642,0,0,0.642,Toxin
pep1051,0.61,0,0,0.61,Toxin
pep1052,0.644,0,0,0.644,Toxin
pep1053,0.661,0,0,0.661,Toxin
pep1054,0.666,0,0,0.666,Toxin
pep1055,0.658,0,0,0.658,Toxin
pep1056,0.667,0,0,0.667,Toxin
pep1057,0.666,0,0,0.666,Toxin
pep1058,0.6,0,0,0.6,Non-Toxin
pep1059,0.598,0,0,0.598,Non-Toxin
pep106,0.934,0,0,0.934,Toxin
pep1060,0.601,0,0,0.601,Toxin
pep1061,0.675,0,0,0.675,Toxin
pep1062,0.593,0,0,0.593,Non-Toxin
pep1063,0.577,0,0,0.577,Non-Toxin
pep1064,0.654,0,0,0.654,Toxin
pep1065,0.654,0,0,0.654,Toxin
pep1066,0.657,0,0,0.657,Toxin
pep1067,0.845,0,0,0.845,Toxin
pep1068,0.852,0,0,0.852,Toxin
pep1069,0.852,0,0,0.852,Toxin
pep107,0.936,0,0,0.936,Toxin
pep1070,0.857,0,0,0.857,Toxin
pep1071,0.776,0,0,0.776,Toxin
pep1072,0.76,0,0,0.76,Toxin
pep1073,0.726,0,0,0.726,Toxin
pep1074,0.718,0,0,0.718,Toxin
pep1075,0.696,0,0,0.696,Toxin
pep1076,0.675,0,0,0.675,Toxin
pep1077,0.776,0,0,0.776,Toxin
pep1078,0.748,0,0,0.748,Toxin
pep1079,0.684,0,0,0.684,Toxin
