Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
pep0,0.647,0,0,0.647,Toxin
pep1,0.629,0,0,0.629,Toxin
pep10,0.594,0,0,0.594,Non-Toxin
pep100,0.927,0,0,0.927,Toxin
pep1000,0.818,0,0,0.818,Toxin
pep1001,0.767,0,0,0.767,Toxin
pep1002,0.757,0,0,0.757,Toxin
pep1003,0.728,0,0,0.728,Toxin
pep1004,0.739,0,0,0.739,Toxin
pep1005,0.725,0,0,0.725,Toxin
pep1006,0.664,0,0,0.664,Toxin
pep1007,0.665,0,0,0.665,Toxin
pep1008,0.682,0,0,0.682,Toxin
pep1009,0.621,0,0,0.621,Toxin
pep101,0.885,0,0,0.885,Toxin
pep1010,0.574,0,0,0.574,Non-Toxin
pep1011,0.593,0,0,0.593,Non-Toxin
pep1012,0.554,0,0,0.554,Non-Toxin
pep1013,0.577,0,0,0.577,Non-Toxin
pep1014,0.575,0,0,0.575,Non-Toxin
pep1015,0.571,0,0,0.571,Non-Toxin
pep1016,0.594,0,0,0.594,Non-Toxin
pep1017,0.605,0,0,0.605,Toxin
pep1018,0.61,0,0,0.61,Toxin
pep1019,0.72,0,0,0.72,Toxin
pep102,0.864,0,0,0.864,Toxin
pep1020,0.674,0,0,0.674,Toxin
pep1021,0.628,0,0,0.628,Toxin
pep1022,0.667,0,0,0.667,Toxin
pep1023,0.633,0,0,0.633,Toxin
pep1024,0.65,0,0,0.65,Toxin
pep1025,0.664,0,0,0.664,Toxin
pep1026,0.653,0,0,0.653,Toxin
pep1027,0.652,0,0,0.652,Toxin
pep1028,0.609,0,0,0.609,Toxin
pep1029,0.572,0,0,0.572,Non-Toxin
pep103,0.826,0,0,0.826,Toxin
pep1030,0.578,0,0,0.578,Non-Toxin
pep1031,0.589,0,0,0.589,Non-Toxin
pep1032,0.637,0,0,0.637,Toxin
pep1033,0.672,0,0,0.672,Toxin
pep1034,0.665,0,0,0.665,Toxin
pep1035,0.665,0,0,0.665,Toxin
pep1036,0.604,0,0,0.604,Toxin
pep1037,0.631,0,0,0.631,Toxin
pep1038,0.638,0,0,0.638,Toxin
pep1039,0.627,0,0,0.627,Toxin
pep104,0.829,0,0,0.829,Toxin
pep1040,0.643,0,0,0.643,Toxin
pep1041,0.633,0,0,0.633,Toxin
pep1042,0.645,0,0,0.645,Toxin
pep1043,0.654,0,0,0.654,Toxin
pep1044,0.594,0,0,0.594,Non-Toxin
pep1045,0.678,0,0,0.678,Toxin
pep1046,0.683,0,0,0.683,Toxin
pep1047,0.659,0,0,0.659,Toxin
pep1048,0.787,0,0,0.787,Toxin
pep1049,0.748,0,0,0.748,Toxin
pep105,0.844,0,0,0.844,Toxin
pep1050,0.746,0,0,0.746,Toxin
pep1051,0.782,0,0,0.782,Toxin
pep1052,0.82,0,0,0.82,Toxin
pep1053,0.825,0,0,0.825,Toxin
pep1054,0.709,0,0,0.709,Toxin
pep1055,0.719,0,0,0.719,Toxin
pep1056,0.712,0,0,0.712,Toxin
pep1057,0.717,0,0,0.717,Toxin
pep1058,0.696,0,0,0.696,Toxin
pep1059,0.888,0,0,0.888,Toxin
pep106,0.869,0,0,0.869,Toxin
pep1060,0.893,0,0,0.893,Toxin
pep1061,0.89,0,0,0.89,Toxin
pep1062,0.872,0,0,0.872,Toxin
pep1063,0.858,0,0,0.858,Toxin
pep1064,0.832,0,0,0.832,Toxin
pep1065,0.808,0,0,0.808,Toxin
pep1066,0.778,0,0,0.778,Toxin
pep1067,0.764,0,0,0.764,Toxin
pep1068,0.739,0,0,0.739,Toxin
pep1069,0.75,0,0,0.75,Toxin
pep107,0.649,0,0,0.649,Toxin
pep1070,0.727,0,0,0.727,Toxin
pep1071,0.743,0,0,0.743,Toxin
pep1072,0.716,0,0,0.716,Toxin
pep1073,0.715,0,0,0.715,Toxin
pep1074,0.727,0,0,0.727,Toxin
pep1075,0.671,0,0,0.671,Toxin
pep1076,0.688,0,0,0.688,Toxin
pep1077,0.64,0,0,0.64,Toxin
pep1078,0.643,0,0,0.643,Toxin
pep1079,0.519,0,0,0.519,Non-Toxin
pep108,0.611,0,0,0.611,Toxin
pep1080,0.696,0,0,0.696,Toxin
pep1081,0.698,0,0,0.698,Toxin
pep1082,0.61,0,0,0.61,Toxin
pep1083,0.598,0,0,0.598,Non-Toxin
pep1084,0.605,0,0,0.605,Toxin
pep1085,0.635,0,0,0.635,Toxin
pep1086,0.657,0,0,0.657,Toxin
pep1087,0.717,0,0,0.717,Toxin
pep1088,0.716,0,0,0.716,Toxin
pep1089,0.724,0,0,0.724,Toxin
pep109,0.727,0,0,0.727,Toxin
pep1090,0.734,0,0,0.734,Toxin
pep1091,0.724,0,0,0.724,Toxin
pep1092,0.742,0,0,0.742,Toxin
pep1093,0.738,0,0,0.738,Toxin
pep1094,0.716,0,0,0.716,Toxin
pep1095,0.639,0,0,0.639,Toxin
pep1096,0.609,0,0,0.609,Toxin
pep1097,0.589,0,0,0.589,Non-Toxin
pep1098,0.619,0,0,0.619,Toxin
pep1099,0.571,0,0,0.571,Non-Toxin
pep11,0.6,0,0,0.6,Non-Toxin
pep110,0.696,0,0,0.696,Toxin
pep1100,0.612,0,0,0.612,Toxin
