Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
pep0,0.838,0,0,0.838,Toxin
pep1,0.841,0,0,0.841,Toxin
pep10,0.683,0,0,0.683,Toxin
pep100,0.754,0,0,0.754,Toxin
pep1000,0.6,0,0,0.6,Non-Toxin
pep1001,0.579,0,0,0.579,Non-Toxin
pep1002,0.576,0,0,0.576,Non-Toxin
pep1003,0.571,0,0,0.571,Non-Toxin
pep1004,0.566,0,0,0.566,Non-Toxin
pep1005,0.55,0,0,0.55,Non-Toxin
pep1006,0.541,0,0,0.541,Non-Toxin
pep1007,0.541,0,0,0.541,Non-Toxin
pep1008,0.667,0,0,0.667,Toxin
pep1009,0.638,0,0,0.638,Toxin
pep101,0.682,0,0,0.682,Toxin
pep1010,0.674,0,0,0.674,Toxin
pep1011,0.689,0,0,0.689,Toxin
pep1012,0.695,0,0,0.695,Toxin
pep1013,0.645,0,0,0.645,Toxin
pep1014,0.616,0,0,0.616,Toxin
pep1015,0.639,0,0,0.639,Toxin
pep1016,0.649,0,0,0.649,Toxin
pep1017,0.665,0,0,0.665,Toxin
pep1018,0.664,0,0,0.664,Toxin
pep1019,0.648,0,0,0.648,Toxin
pep102,0.631,0,0,0.631,Toxin
pep1020,0.688,0,0,0.688,Toxin
pep1021,0.68,0,0,0.68,Toxin
pep1022,0.696,0,0,0.696,Toxin
pep1023,0.698,0,0,0.698,Toxin
pep1024,0.65,0,0,0.65,Toxin
pep1025,0.634,0,0,0.634,Toxin
pep1026,0.626,0,0,0.626,Toxin
pep1027,0.568,0,0,0.568,Non-Toxin
pep1028,0.579,0,0,0.579,Non-Toxin
pep1029,0.587,0,0,0.587,Non-Toxin
pep103,0.651,0,0,0.651,Toxin
pep1030,0.564,0,0,0.564,Non-Toxin
pep1031,0.509,0,0,0.509,Non-Toxin
pep1032,0.526,0,0,0.526,Non-Toxin
pep1033,0.476,0,0,0.476,Non-Toxin
pep1034,0.497,0,0,0.497,Non-Toxin
pep1035,0.639,0,0,0.639,Toxin
pep1036,0.626,0,0,0.626,Toxin
pep1037,0.482,0,0,0.482,Non-Toxin
pep1038,0.517,0,0,0.517,Non-Toxin
pep1039,0.524,0,0,0.524,Non-Toxin
pep104,0.646,0,0,0.646,Toxin
pep1040,0.541,0,0,0.541,Non-Toxin
